barcode	disease	samples	x	y	type	color	cancerType	Label	delta_ESCCDMRsVSEACDMRs
TCGA-GC-A6I1	BLCA	TCGA-GC-A6I1-01	376	107	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.136324465618506
TCGA-GD-A3OQ	BLCA	TCGA-GD-A3OQ-01	195	210	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.11990564880748
TCGA-GD-A3OS	BLCA	TCGA-GD-A3OS-01	349	94	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.168534898114938
TCGA-GU-A42Q	BLCA	TCGA-GU-A42Q-01	308	145	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.215997334553888
TCGA-GU-A762	BLCA	TCGA-GU-A762-01	309	173	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.164919402244695
TCGA-GU-A764	BLCA	TCGA-GU-A764-01	305	178	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0959136561246798
TCGA-GU-A766	BLCA	TCGA-GU-A766-01	305	173	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0952221165651171
TCGA-GU-AATQ	BLCA	TCGA-GU-AATQ-01	151	194	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.237217830411835
TCGA-GV-A40E	BLCA	TCGA-GV-A40E-01	313	178	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0699979595806307
TCGA-HQ-A5ND	BLCA	TCGA-HQ-A5ND-01	332	89	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.169262367208232
TCGA-HQ-A5NE	BLCA	TCGA-HQ-A5NE-01	329	166	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0865418868004945
TCGA-K4-A3WV	BLCA	TCGA-K4-A3WV-01	282	88	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.204401109717994
TCGA-K4-A4AB	BLCA	TCGA-K4-A4AB-01	194	211	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.131945522526362
TCGA-K4-A4AC	BLCA	TCGA-K4-A4AC-01	347	148	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.154334288695702
TCGA-K4-A5RH	BLCA	TCGA-K4-A5RH-01	157	230	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.106393823486906
TCGA-K4-A5RI	BLCA	TCGA-K4-A5RI-01	195	211	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.216715598422572
TCGA-K4-A5RJ	BLCA	TCGA-K4-A5RJ-01	260	198	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.068057104807792
TCGA-K4-A6FZ	BLCA	TCGA-K4-A6FZ-01	331	167	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0909859357239008
TCGA-LC-A66R	BLCA	TCGA-LC-A66R-01	322	171	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.114188378796911
TCGA-PQ-A6FI	BLCA	TCGA-PQ-A6FI-01	282	96	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.270339876097556
TCGA-PQ-A6FN	BLCA	TCGA-PQ-A6FN-01	321	175	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.119475539750567
TCGA-SY-A9G5	BLCA	TCGA-SY-A9G5-01	292	185	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.110851998516036
TCGA-UY-A78L	BLCA	TCGA-UY-A78L-01	330	170	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.061695482306385
TCGA-UY-A78P	BLCA	TCGA-UY-A78P-01	299	173	1	green	BLCA (Ba/Sq)	BLCA (Ba/Sq)	-0.0907290738685591
