gene	Expression	Type	Domain
ENSG000002557341	-2.20579976427421	ESCC_Tumor	EAC_specificPMDs
ENSG000002309211	-3.24448771735895	ESCC_Tumor	EAC_specificPMDs
ENSG000002545651	-3.09708954302396	ESCC_Tumor	EAC_specificPMDs
ENSG000001005051	-1.41552517268428	ESCC_Tumor	EAC_specificPMDs
ENSG000002553421	-1.82720096920464	ESCC_Tumor	EAC_specificPMDs
ENSG000002555421	-3.08970979186103	ESCC_Tumor	EAC_specificPMDs
ENSG000001631451	-2.22991566450338	ESCC_Tumor	EAC_specificPMDs
ENSG000002374191	-2.8831718698402	ESCC_Tumor	EAC_specificPMDs
ENSG000001454281	-1.2566542161151	ESCC_Tumor	EAC_specificPMDs
ENSG000002314171	-3.24638298131049	ESCC_Tumor	EAC_specificPMDs
ENSG000001399261	3.93394261464853	ESCC_Tumor	EAC_specificPMDs
ENSG000002228321	-3.0251227869329	ESCC_Tumor	EAC_specificPMDs
ENSG000002298421	-2.81844664195302	ESCC_Tumor	EAC_specificPMDs
ENSG000002240741	-3.09008426704634	ESCC_Tumor	EAC_specificPMDs
ENSG000001517901	-0.289676357981811	ESCC_Tumor	EAC_specificPMDs
ENSG000001525911	-1.94500369710915	ESCC_Tumor	EAC_specificPMDs
ENSG000002660481	-3.08076955587218	ESCC_Tumor	EAC_specificPMDs
ENSG000001730401	-0.114759099324859	ESCC_Tumor	EAC_specificPMDs
ENSG000002574151	-3.274051113001	ESCC_Tumor	EAC_specificPMDs
ENSG000002564801	-3.08858260408631	ESCC_Tumor	EAC_specificPMDs
ENSG000002013861	-2.73485947140883	ESCC_Tumor	EAC_specificPMDs
ENSG000002434861	-2.09348665150782	ESCC_Tumor	EAC_specificPMDs
ENSG000001047231	3.07910408662788	ESCC_Tumor	EAC_specificPMDs
ENSG000002443721	-3.10758480243751	ESCC_Tumor	EAC_specificPMDs
ENSG000002377291	1.33312438442169	ESCC_Tumor	EAC_specificPMDs
ENSG000000999541	-0.500369293870698	ESCC_Tumor	EAC_specificPMDs
ENSG000002502891	-3.16651368584461	ESCC_Tumor	EAC_specificPMDs
ENSG000002246911	-2.45934457447873	ESCC_Tumor	EAC_specificPMDs
ENSG000002365801	-2.69582697232353	ESCC_Tumor	EAC_specificPMDs
ENSG000002035061	-2.57436480892249	ESCC_Tumor	EAC_specificPMDs
ENSG000001411611	-3.05258849616728	ESCC_Tumor	EAC_specificPMDs
ENSG000002595871	-2.71877041642172	ESCC_Tumor	EAC_specificPMDs
ENSG000001364041	-1.25225403296278	ESCC_Tumor	EAC_specificPMDs
ENSG000002328531	-3.00236370825776	ESCC_Tumor	EAC_specificPMDs
ENSG000002239141	-2.55521495459441	ESCC_Tumor	EAC_specificPMDs
